From	To
P30968	GNRHR
P31040	SDHA
P31146	CORO1A
P31150	GDI1
P31213	SRD5A2
P31271	HOXA13
P31327	CPS1
P31371	FGF9
P31415	CASQ1
P31483	TIA1
P31513	FMO3
P31639	SLC5A2
P31749	AKT1
P31751	AKT2
P31785	IL2RG
P31939	ATIC
P32004	L1CAM
P32189	GK
P32243	OTX2
P32245	MC4R
P32322	PYCR1
P32754	HPD
P32929	CTH
P33076	CIITA
P33897	ABCD1
P34059	GALNS
P34949	MPI
P35218	CA5A
P35219	CA8
P35222	CTNNB1
P35240	NF2
P35241	RDX
P35270	SPR
P35453	HOXD13
P35475	IDUA
P35498	SCN1A
P35499	SCN4A
P35523	CLCN1
P35527	KRT9
P35548	MSX2
P35555	FBN1
P35556	FBN2
P35557	GCK
P35568	IRS1
P35573	AGL
P35575	G6PC
P35579	MYH9
P35609	ACTN2
P35625	TIMP3
P35637	FUS
P35670	ATP7B
P35680	HNF1B
P35713	SOX18
P35716	SOX11
P35749	MYH11
P35858	IGFALS
P35908	KRT2
P35913	PDE6B
P35914	HMGCL
P35916	FLT4
P35968	KDR
P36021	SLC16A2
P36382	GJA5
P36507	MAP2K2
P36551	CPOX
P36776	LONP1
P36871	PGM1
P36894	BMPR1A
P36897	TGFBR1
P37023	ACVRL1
P37058	HSD17B3
P37088	SCNN1A
P37173	TGFBR2
P37198	NUP62
P37231	PPARG
P37275	ZEB1
P37287	PIGA
P37840	SNCA
P38117	ETFB
P38398	BRCA1
P38405	GNAL
P38435	GGCX
P38484	IFNGR2
P38571	LIPA
P38919	EIF4A3
P38935	IGHMBP2
P39019	RPS19
P39210	MPV17
P39656	DDOST
P39877	PLA2G5
P39905	GDNF
P40200	CD96
P40238	MPL
P40259	CD79B
P40337	VHL
P40692	MLH1
P40763	STAT3
P40879	SLC26A3
P40939	HADHA
P41159	LEP
P41180	CASR
P41181	AQP2
P41212	ETV6
P41221	WNT5A
P41227	NAA10
P41229	KDM5C
P41235	HNF4A
P41250	GARS1
P41732	TSPAN7
P42224	STAT1
P42263	GRIA3
P42336	PIK3CA
P42345	MTOR
P42356	PI4KA
P42357	HAL
P42658	DPP6
P42701	IL12RB1
P42702	LIFR
P42704	LRPPRC
P42768	WAS
P42771	CDKN2A
P42892	ECE1
P42898	MTHFR
P43003	SLC1A3
P43005	SLC1A1
P43007	SLC1A4
P43026	GDF5
P43034	PAFAH1B1
P43080	GUCA1A
P43235	CTSK
P43243	MATR3
P43246	MSH2
P43251	BTD
P43403	ZAP70
P43489	TNFRSF4
P43657	LPAR6
P43681	CHRNA4
P43694	GATA4
P43699	NKX2-1
P45378	TNNT3
P45379	TNNT2
P45381	ASPA
P45452	MMP13
P45954	ACADSB
P46019	PHKA2
P46020	PHKA1
